74,0.033022,"65,592",11.7,0.63,0.023033,"76,827",13.54,0.7
75,0.036201,"63,426",11.08,0.62,0.025413,"75,058",12.85,0.69
76,0.039858,"61,130",10.48,0.6,0.028197,"73,150",12.17,0.68
77,0.043891,"58,693",9.89,0.59,0.031313,"71,088",11.51,0.66
78,0.048311,"56,117",9.33,0.56,0.034782,"68,862",10.86,0.65
79,0.053228,"53,406",8.77,0.56,0.038689,"66,466",10.24,0.62
80,0.058897,"50,564",8.24,0.53,0.043258,"63,895",9.63,0.61
81,0.065365,"47,585",7.72,0.52,0.04849,"61,131",9.04,0.59
82,0.072491,"44,475",7.23,0.49,0.054223,"58,167",8.48,0.56
83,0.080288,"41,251",6.75,0.48,0.060446,"55,013",7.93,0.55
84,0.088916,"37,939",6.3,0.45,0.067338,"51,688",7.41,0.52
85,0.098576,"34,566",5.87,0.43,0.075133,"48,207",6.91,0.5
86,0.109438,"31,158",5.45,0.42,0.084033,"44,585",6.43,0.48
87,0.121619,"27,748",5.06,0.39,0.094177,"40,838",5.98,0.45
88,0.135176,"24,374",4.69,0.37,0.105633,"36,992",5.54,0.44
89,0.150109,"21,079",4.35,0.34,0.118407,"33,085",5.14,0.4
90,0.166397,"17,915",4.03,0.32,0.132476,"29,167",4.76,0.38
91,0.183997,"14,934",3.73,0.3,0.147801,"25,303",4.41,0.35
92,0.202855,"12,186",3.46,0.27,0.164331,"21,563",4.09,0.32
93,0.222911,"9,714",3.21,0.25,0.182012,"18,020",3.8,0.29
94,0.244094,"7,549",2.99,0.22,0.200783,"14,740",3.54,0.26
95,0.265091,"5,706",2.8,0.19,0.219758,"11,781",3.3,0.24
96,0.285508,"4,193",2.63,0.17,0.23863,"9,192",3.09,0.21
97,0.304926,"2,996",2.48,0.15,0.257065,"6,998",2.9,0.19
98,0.322919,"2,083",2.34,0.14,0.274706,"5,199",2.73,0.17
99,0.339065,"1,410",2.22,0.12,0.291189,"3,771",2.57,0.16
100,0.356018,932,2.11,0.11,0.30866,"2,673",2.42,0.15
101,0.373819,600,2,0.11,0.32718,"1,848",2.27,0.15
102,0.39251,376,1.89,0.11,0.34681,"1,243",2.14,0.13
103,0.412135,228,1.79,0.1,0.367619,812,2,0.14
104,0.432742,134,1.69,0.1,0.389676,514,1.88,0.12
105,0.454379,76,1.59,0.1,0.413057,313,1.76,0.12
106,0.477098,42,1.5,0.09,0.43784,184,1.64,0.12
107,0.500953,22,1.41,0.09,0.464111,103,1.53,0.11
108,0.526,11,1.33,0.08,0.491957,55,1.43,0.1
109,0.5523,5,1.25,0.08,0.521475,28,1.33,0.1
110,0.579915,2,1.17,0.08,0.552763,13,1.24,0.09
111,0.608911,1,1.1,0.07,0.585929,6,1.15,0.09
112,0.639357,0,1.03,0.07,0.621085,2,1.06,0.09
113,0.671325,0,0.96,0.07,0.65835,1,0.98,0.08
114,0.704891,0,0.89,0.07,0.697851,0,0.9,0.08
115,0.740135,0,0.83,0.06,0.739722,0,0.83,0.07
116,0.777142,0,0.77,0.06,0.777142,0,0.77,0.06
117,0.815999,0,0.71,0.06,0.815999,0,0.71,0.06
118,0.856799,0,0.66,0.05,0.856799,0,0.66,0.05
119,0.899639,0,0.61,0.05,0.899639,0,0.61,0.05
